Red curve_x,Red curve_y
374.1397781372,687.
374.3845539093,695.
374.6293296814,723.
374.8741054535,688.
375.1188812256,661.
375.3636569977,669.
375.6084327698,675.
375.8532085419,663.
376.097984314,649.
376.3427600861,645.
376.5875358582,675.
376.8323116302,674.
377.0770874023,659.
377.3218631744,684.
377.5666389465,673.
377.8114147186,662.
378.0561904907,647.
378.3009662628,637.
378.5457420349,627.
378.7905178070,656.
379.0352935791,650.
379.2800693512,645.
379.5248451233,684.
379.7696208954,650.
380.0143966675,683.
380.2591724396,621.
380.5039482117,685.
380.7487239838,683.
380.9934997559,656.
381.238275528,686.
381.4830513000,681.
381.7278270721,610.
381.9726028442,604.
382.2173786163,649.
382.4621543884,668.
382.7069301605,684.
382.9517059326,658.
383.1964817047,660.
383.4412574768,651.
383.6860332489,648.
383.930809021,575.
384.1755847931,641.
384.4203605652,657.
384.6651363373,625.
384.9099121094,694.
385.1546878815,659.
385.3994636536,667.
385.6442394257,657.
385.8890151978,643.
386.1337909698,660.
386.3785667419,650.
386.6233425140,613.
386.8681182861,664.
387.1128940582,629.
387.3576698303,614.
387.6024456024,605.
387.8472213745,669.
388.0919971466,598.
388.3367729187,609.
388.5815486908,631.
388.8263244629,633.
389.071100235,648.
389.3158760071,684.
389.5606517792,640.
389.8054275513,599.
390.0502033234,605.
390.2949790955,620.
390.5397548676,659.
390.7845306396,700.
391.0293064117,690.
391.2740821838,679.
391.5188579559,646.
391.7636337280,631.
392.0084095001,645.
392.2531852722,636.
392.4979610443,643.
392.7427368164,652.
392.9875125885,659.
393.2322883606,651.
393.4770641327,662.
393.7218399048,649.
393.9666156769,593.
394.211391449,632.
394.4561672211,648.
394.7009429932,620.
394.9457187653,650.
395.1904945374,643.
395.4352703094,692.
395.6800460815,728.
395.9248218536,731.
396.1695976257,890.
396.4143733978,1877.
396.6591491699,4024.
396.9039249420,5208.
397.1487007141,3913.
397.3934764862,2652.
397.6382522583,2289.
397.8830280304,2551.
398.1278038025,2488.
398.3725795746,1895.
398.6173553467,1431.
398.8621311188,1140.
399.1069068909,966.
399.351682663,857.
399.5964584351,821.
399.8412342072,812.
400.0860099792,805.
400.3307857513,761.
400.5755615234,738.
400.8203372955,657.
401.0651130676,698.
401.3098888397,662.
401.5546646118,688.
401.7994403839,689.
402.0442161560,635.
402.2889919281,667.
402.5337677002,695.
402.7785434723,660.
403.0233192444,691.
403.2680950165,716.
403.5128707886,639.
403.7576465607,635.
404.0024223328,674.
404.2471981049,705.
404.491973877,624.
404.7367496490,574.
404.9815254211,645.
405.2263011932,651.
405.4710769653,629.
405.7158527374,623.
405.9606285095,651.
406.2054042816,666.
406.4501800537,632.
406.6949558258,579.
406.9397315979,596.
407.18450737,576.
407.4292831421,647.
407.6740589142,668.
407.9188346863,596.
408.1636104584,625.
408.4083862305,619.
408.6531620026,650.
408.8979377747,616.
409.1427135468,616.
409.3874893188,650.
409.6322650909,641.
409.8770408630,652.
410.1218166351,636.
410.3665924072,664.
410.6113681793,618.
410.8561439514,603.
411.1009197235,612.
411.3456954956,621.
411.5904712677,690.
411.8352470398,639.
412.0800228119,614.
412.324798584,651.
412.5695743561,647.
412.8143501282,635.
413.0591259003,596.
413.3039016724,634.
413.5486774445,678.
413.7934532166,652.
414.0382289886,648.
414.2830047607,633.
414.5277805328,622.
414.7725563049,624.
415.0173320770,610.
415.2621078491,628.
415.5068836212,619.
415.7516593933,624.
415.9964351654,624.
416.2412109375,632.
416.4859867096,638.
416.7307624817,636.
416.9755382538,631.
417.2203140259,600.
417.465089798,628.
417.7098655701,617.
417.9546413422,637.
418.1994171143,621.
418.4441928864,599.
418.6889686584,582.
418.9337444305,525.
419.1785202026,560.
